Fecha,Dia_Semana,SANTA_FE_TG1,SANTA_FE_TG2,SANTA_FE_TG3,PACIFICO_TG1,PACIFICO_TG2,PACIFICO_TG3,LAJA_TG3,LAJA_TG4,SF _ENERGÍA_TG4,SF _ENERGÍA_(NETO),LAJA AP,PACIFICO AP,SANTA FE AP
2026-01-01 01:00:00,jueves,-19.03,-44.57,-43.82,-29.98,-28.09,-9.54,-26.55,-19.95,-46.8,-40.86,-1.15,-20.05,-9.29
2026-01-01 02:00:00,jueves,-19.02,-44.63,-44.46,-30.04,-27.1,-9.58,-23.46,-33.91,-48.46,-42.36,-11.4,-19.39,-8.01
2026-01-01 03:00:00,jueves,-18.94,-44.61,-44.03,-30.02,-27.35,-9.48,-24.2,-32.18,-49.32,-43.19,-10.28,-19.05,-6.92
2026-01-01 04:00:00,jueves,-19.01,-44.71,-44.49,-32.05,-28.15,-9.56,-26.43,-26.41,-52.38,-45.91,-6.93,-21.55,-7.23
2026-01-01 05:00:00,jueves,-19.06,-44.69,-44.46,-32.1,-30.62,-9.56,-25.09,-29.58,-58.14,-51.6,-8.38,-24.05,-8.07
2026-01-01 06:00:00,jueves,-19.07,-44.54,-44.34,-32.14,-31.15,-9.55,-25.79,-26.59,-54.28,-47.77,-6.25,-25.4,-7.24
2026-01-01 07:00:00,jueves,-19.09,-44.56,-44.31,-32.32,-28.46,-9.6,-26.3,-27.82,-53.74,-47.35,-8.01,-22.84,-7.07
2026-01-01 08:00:00,jueves,-18.99,-44.46,-42.5,-31.79,-27.1,-9.53,-25.21,-27.91,-56.37,-49.94,-6.99,-21.0,-6.41
2026-01-01 09:00:00,jueves,-19.08,-44.44,-42.98,-31.97,-25.56,-9.54,-25.55,-22.42,-50.48,-44.67,-2.18,-19.99,-6.92
2026-01-01 10:00:00,jueves,-19.05,-44.42,-43.96,-32.17,-28.11,-9.59,-25.9,-22.88,-45.66,-40.24,-3.55,-22.58,-8.11
2026-01-01 11:00:00,jueves,-19.04,-44.35,-42.95,-32.15,-25.07,-9.56,-25.12,-21.4,-50.88,-45.28,-0.82,-19.0,-6.57
2026-01-01 12:00:00,jueves,-19.06,-44.27,-43.53,-32.15,-28.4,-9.53,-24.56,-25.97,-49.06,-43.4,-4.35,-22.57,-6.46
2026-01-01 13:00:00,jueves,-19.02,-44.37,-42.01,-32.27,-32.01,-9.51,-25.47,-27.14,-50.88,-45.14,-6.57,-25.91,-4.83
2026-01-01 14:00:00,jueves,-18.98,-44.27,-42.74,-32.05,-32.5,-9.5,-25.51,-24.85,-49.65,-43.68,-4.46,-26.86,-5.44
2026-01-01 15:00:00,jueves,-18.98,-44.12,-43.53,-32.15,-32.05,-9.53,-24.98,-25.61,-49.97,-43.87,-4.89,-26.37,-5.57
2026-01-01 16:00:00,jueves,-18.98,-44.21,-41.54,-31.88,-32.64,-9.56,-25.75,-24.01,-52.73,-46.53,-7.09,-26.38,-3.76
2026-01-01 17:00:00,jueves,-18.96,-44.13,-43.39,-32.03,-35.71,-9.52,-23.61,-31.21,-46.83,-40.95,-12.06,-29.18,-5.62
2026-01-01 18:00:00,jueves,-18.97,-44.24,-40.37,-32.06,-34.27,-9.52,-24.15,-29.58,-50.17,-44.39,-11.02,-27.69,-2.8
2026-01-01 19:00:00,jueves,-18.98,-44.2,-40.15,-32.28,-34.96,-9.58,-24.29,-25.31,-46.53,-41.03,-7.1,-28.56,-2.68
