Fecha;SANTA FE;;;PACIFICO;;;LAJA;;SF ENERGÍA;SF ENERGÍA;LAJA AP;PACIFICO AP;SANTA FE AP;CMPC BUCALEMU;CMPC BUCALEMU 52ET
;TG1;TG2;TG3;TG1;TG2;TG3;TG3;TG4;TG4;(NETO);;;;52EG;
01/01/2026 1:00;-19,03;-44,57;-43,82;-29,98;-28,09;-9,54;-26,55;-19,95;-46,80;-40,86;-1,15;-20,05;-9,29;-5,24;-4,92
01/01/2026 2:00;-19,02;-44,63;-44,46;-30,04;-27,10;-9,58;-23,46;-33,91;-48,46;-42,36;-11,40;-19,39;-8,01;-5,49;-5,25
01/01/2026 3:00;-18,94;-44,61;-44,03;-30,02;-27,35;-9,48;-24,20;-32,18;-49,32;-43,19;-10,28;-19,05;-6,92;-5,44;-5,31
01/01/2026 4:00;-19,01;-44,71;-44,49;-32,05;-28,15;-9,56;-26,43;-26,41;-52,38;-45,91;-6,93;-21,55;-7,23;-4,64;-4,59
01/01/2026 5:00;-19,06;-44,69;-44,46;-32,10;-30,62;-9,56;-25,09;-29,58;-58,14;-51,60;-8,38;-24,05;-8,07;-4,91;-4,61
01/01/2026 6:00;-19,07;-44,54;-44,34;-32,14;-31,15;-9,55;-25,79;-26,59;-54,28;-47,77;-6,25;-25,40;-7,24;-5,20;-5,01
01/01/2026 7:00;-19,09;-44,56;-44,31;-32,32;-28,46;-9,60;-26,30;-27,82;-53,74;-47,35;-8,01;-22,84;-7,07;-5,01;-4,87
01/01/2026 8:00;-18,99;-44,46;-42,50;-31,79;-27,10;-9,53;-25,21;-27,91;-56,37;-49,94;-6,99;-21,00;-6,41;-3,81;-4,08
01/01/2026 9:00;-19,08;-44,44;-42,98;-31,97;-25,56;-9,54;-25,55;-22,42;-50,48;-44,67;-2,18;-19,99;-6,92;-3,51;-3,11
01/01/2026 10:00;-19,05;-44,42;-43,96;-32,17;-28,11;-9,59;-25,90;-22,88;-45,66;-40,24;-3,55;-22,58;-8,11;-3,69;-3,57
01/01/2026 11:00;-19,04;-44,35;-42,95;-32,15;-25,07;-9,56;-25,12;-21,40;-50,88;-45,28;-0,82;-19,00;-6,57;-2,43;-2,52
01/01/2026 12:00;-19,06;-44,27;-43,53;-32,15;-28,40;-9,53;-24,56;-25,97;-49,06;-43,40;-4,35;-22,57;-6,46;-2,45;-2,29
01/01/2026 13:00;-19,02;-44,37;-42,01;-32,27;-32,01;-9,51;-25,47;-27,14;-50,88;-45,14;-6,57;-25,91;-4,83;-2,17;-2,07
01/01/2026 14:00;-18,98;-44,27;-42,74;-32,05;-32,50;-9,50;-25,51;-24,85;-49,65;-43,68;-4,46;-26,86;-5,44;-2,24;-2,07
01/01/2026 15:00;-18,98;-44,12;-43,53;-32,15;-32,05;-9,53;-24,98;-25,61;-49,97;-43,87;-4,89;-26,37;-5,57;-2,51;-2,33
01/01/2026 16:00;-18,98;-44,21;-41,54;-31,88;-32,64;-9,56;-25,75;-24,01;-52,73;-46,53;-7,09;-26,38;-3,76;-2,72;-2,54
01/01/2026 17:00;-18,96;-44,13;-43,39;-32,03;-35,71;-9,52;-23,61;-31,21;-46,83;-40,95;-12,06;-29,18;-5,62;-2,91;-2,76
